nombre;kcal;grasa;saturadas;carbohidrato;azucares;fibra;proteina;sal;formato_g;precio_eur;grupo;seccion;nova;fuente;rol;notas
Kéfir natural;74;4.2;2.9;5.1;2.3;0;3.9;0.1;500;2.20;fijo;Huevos y lácteos;1;e;lacteo;Precio y macros estimados: copia los del envase
Copos de avena Hacendado;375;7.0;1.3;59.9;1.0;10.0;13.5;0.02;1000;1.63;carb;Conservas y despensa;1;e;base;
Arroz redondo Hacendado;344;1.0;0.2;75.0;0.5;0;8.2;0;1000;1.15;carb;Conservas y despensa;1;e;base;
Pasta integral;350;2.5;0.5;63.0;3.0;8.0;13.0;0.02;1000;1.15;carb;Conservas y despensa;1;e;base;
Ñoquis de patata;174;0.4;0.2;37.6;0.2;0;4.5;0.9;500;2.00;carb;Refrigerados;3;e;base;Del envase: llevan conservantes y sal
Patata;80;0.1;0.02;17.0;0.8;2.2;2.0;0.01;5000;4.50;carb;Frutería;1;e;base;
Batata doce congelada;163;5.0;0.5;26;9.5;3.2;1.6;0.3;1000;3.53;carb;Congelados;1;e;base;
Pan de semillas;271;5.1;0.7;43.0;2.6;6.2;11.0;1.0;450;3.00;carb;Panadería;4;e;base;Del envase: el azúcar y la sal cambian mucho entre marcas
Lentejas cocidas (bote);95;0.5;;14.0;;;7.0;;570;1.00;carb;Conservas y despensa;3;e;base;Del envase: mira sobre todo la sal
Garbanzos cocidos (bote);120;2.5;;16.0;;;7.0;;570;1.10;carb;Conservas y despensa;3;e;base;Del envase: mira sobre todo la sal
Alubias cocidas (bote);100;0.6;;15.0;;;7.0;;570;1.05;carb;Conservas y despensa;3;e;base;Del envase: mira sobre todo la sal
Pechuga de pollo;108;1.8;0.6;0.5;0.0;0.0;22.0;0.2;500;7.30;prot;Carnicería;1;f;proteina;
Ternera magra (babilla);130;5.0;2.3;0.5;0.5;0.0;21.0;0.2;500;15.10;prot;Carnicería;1;e;proteina;
Filete de pavo;105;1.5;0.4;0.0;0.0;0.0;22.0;0.15;500;4.00;prot;Carnicería;1;e;proteina;
Pavo en lonchas;124;5.0;1.7;1.0;0.0;0.0;20.0;0.4;500;8.20;prot;Huevos y lácteos;4;e;proteina;Del envase: suele llevar bastante sal y azúcar
Merluza congelada;82;1.2;0.3;0.5;0.5;0.0;18.0;0.2;500;9.80;prot;Congelados;1;e;proteina;
Salmón congelado hacendado;223;16.0;2.3;0.0;0.0;0.0;20.0;0.1;500;23.8;prot;Congelados;1;e;proteina;
Atún claro al natural;110;1.0;;0.0;;;25.0;;240;2.40;prot;Conservas y despensa;3;f;proteina;Del envase: mira la sal
Huevos;150;11.1;3.1;0.5;0.5;0.0;12.5;0.4;720;3.05;fijo;Huevos y lácteos;1;f;proteina;
Leche semidesnatada;46;1.6;;4.8;;;3.2;;1000;0.79;fijo;Huevos y lácteos;1;e;lacteo;Del envase
Queso batido 0% / skyr;60;0.3;;4.0;;;10.0;;500;1.45;prot;Huevos y lácteos;3;e;lacteo;Del envase: comprueba que no lleve azúcar añadido
Yogur natural;60;3.0;;4.5;;;4.0;;500;0.95;fijo;Huevos y lácteos;1;e;lacteo;Del envase, el natural sin azúcar es NOVA 1
Queso rallado (ingred.);380;29.0;;2.0;;;26.0;;200;2.20;grasa;Huevos y lácteos;3;e;grasa;Del envase: sal y grasa saturada altas
Proteína en polvo;366;3.3;2.4;6.3;5.0;;78.0;0.79;500;9.50;prot;Conservas y despensa;4;e;proteina;Evowhey HSN sabor Galleta (datos de la etiqueta)
Gazpacho (brik);40;2.5;;3.5;;;0.8;;1000;1.55;fijo;Conservas y despensa;3;e;verdura;Del brik: mira sal y azúcar
Verdura congelada;40;0.4;0.1;5.0;2.5;3.0;2.5;0.05;1000;1.80;fijo;Congelados;1;e;verdura;
Guisantes congelados;80;0.4;0.1;11.0;3.5;5.0;5.5;0.02;1000;1.70;fijo;Congelados;1;e;verdura;
Champiñón laminado;22;0.3;0.05;1.0;0.5;1.0;3.0;0.01;500;1.60;fijo;Frutería;1;e;verdura;
Verduras asadas (batch);45;2.0;0.3;5.0;3.5;2.0;1.5;0.10;1000;2.00;fijo;Frutería;1;e;verdura;Calabacín, pimiento y cebolla con un poco de aceite
Tomate cherry;20;0.2;0.03;3.0;2.8;1.2;1.0;0.01;500;1.70;fijo;Frutería;1;e;verdura;
Bolsita de fruta;65;0.2;;15.0;;;0.4;;400;1.90;carb;Conservas y despensa;3;e;fruta;Del envase: que sea 100 % fruta, sin azúcar añadido
Almendras;600;53.0;4.0;5.0;4.4;12.5;21.0;0.0;200;3.00;grasa;Conservas y despensa;1;e;grasa;Crudas o tostadas sin sal
Batido proteínas (botella);60;1.5;;5.5;;;6.0;;330;1.20;prot;Huevos y lácteos;4;e;proteina;Del envase
Plátano;89;0.3;0.1;20.0;12.2;2.6;1.1;0.0;1000;1.75;carb;Frutería;1;e;fruta;
Manzana;52;0.2;0.03;12.0;10.4;2.4;0.3;0.0;1000;2.00;carb;Frutería;1;e;fruta;
Nueces;654;65.0;6.1;7.0;2.6;6.7;15.0;0.0;500;4.50;grasa;Conservas y despensa;1;e;grasa;
Crema de cacahuete;600;50.0;;12.0;;;25.0;;500;3.00;grasa;Conservas y despensa;2;e;grasa;Del bote: la de 100 % cacahuete es NOVA 2, con azúcar y aceites, NOVA 4
Aguacate;160;15.0;2.1;2.0;0.7;6.7;2.0;0.01;500;3.50;grasa;Frutería;1;e;grasa;
Aceite de oliva virgen ex.;900;100.0;14.0;0.0;0.0;0.0;0.0;0.0;1000;7.50;grasa;Conservas y despensa;2;e;grasa;
